Year,Week_x,Abbr_RDBMS_Winner,Week2,Day,Date,Time,Home_Team,FINAL_TEAM_NAME,Opponent,TEAM_POINTS,TEAM_YARDS,TEAM_TURNOVERS,TEAM_TURNOVER_DIFFERENTIAL,OPPONENTS_POINTS,OPPONENTS_YARDS,OPPONENTS_TURNOVERS,OPPONENTS_TURNOVER_DIFFERENTIAL,TEAM_POINT_MARGIN,GAMEID,BINARY_WIN,W-L-T,Power Index FPI,Power Index RK,Power Index TREND,Power Index OFF,Power Index DEF,Power Index ST,Ranks SOS,Ranks REM SOS,Ranks AVGWP,DIVISION_538_Winner,ELO WITH QB_538_Winner,ELO CHANGE_538_Winner,CURRENT QB ADJ_538_Winner,Points_Diff_538_Winner,Playoffs_Prob_538_Winner,Division_Prob_538_Winner,Bye_Prob_538_Winner,SB_Prob_538_Winner,REAL_WINS2_538_Winner,REAL_LOSSES2_538_Winner,REAL_TIES_538_Winner,PROJ_WINS4_538_Winner,PROJ_LOSS4_538_Winner,EPA/play_RDBMS_Winner,OVR_SUCCESS_RATE_RDBMS_Winner,Dropback EPA_RDBMS_Winner,DROPBACK_SR_RDBMS_Winner,Rush EPA_RDBMS_Winner,RUN_SR_RDBMS_Winner,TOTAL DVOA_FO_WEEKLY_Winner,LAST WEEK_FO_WEEKLY_Winner,DAVE_WEI_DVOA_FO_WEEKLY_Winner,OFFENSE DVOA_FO_WEEKLY_Winner,DEFENSE DVOA_FO_WEEKLY_Winner,S.T. DVOA_FO_WEEKLY_Winner,RK_FO_ANNUAL_Winner,TOTAL DVOA_FO_ANNUAL_Winner,DAVE_WEI_DVOA_FO_ANNUAL_Winner,OFFENSE DVOA_FO_ANNUAL_Winner,DEFENSE DVOA_FO_ANNUAL_Winner,S.T. DVOA_FO_ANNUAL_Winner,non-adj VOA_FO_ANNUAL_Winner,Last Year_FO_ANNUAL_Winner,ESTIM. WINS_FO_ANNUAL_Winner,SCHEDULE RANK_FO_ANNUAL_Winner,VAR._FO_ANNUAL_Winner,TOTAL_GAME_POINTS,TOTAL_GAME_YARDS,TOTAL_GAME_TURNOVERS,PLAYOFFS_BINARY,GAME_TYPE
2015,9,GB,9,Sun,8-Nov,1:04PM,1,Green Bay Packers,Carolina Panthers,29,402,2,-1,37,427,1,1,-8,16,0,11-7,3.6,3,0,2.4,1.3,-0.1,2,0,12,NFC North,1660,-25,0.0,0.0,0.95,0.82,0.65,0.13,6,1,0,12.1,3.9,-0.04,0.355,0.053,0.36700000000000005,-0.389,0.313,0.187,4,0.17,0.14300000000000002,-0.031,0.013000000000000001,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,66,829,3,0,Regular Season
2015,9,CAR,9,Sun,8-Nov,1:04PM,1,Carolina Panthers,Green Bay Packers,37,427,1,1,29,402,2,-1,8,16,1,17-2-0,7.9,3,0,3.5,4.8,-0.4,28,0,1,NFC South,1632,7,0.0,0.0,0.97,0.82,0.77,0.11,7,0,0,13.2,2.8,0.068,0.418,0.24,0.47200000000000003,-0.132,0.355,0.21600000000000003,7,0.22399999999999998,0.054000000000000006,-0.21100000000000002,-0.048,4,0.255,0.294,0.105,-0.17300000000000001,-0.024,0.314,24,11.0,-0.078,0.141,66,829,3,0,Regular Season
2015,12,CHI,12,Thu,26-Nov,8:30PM,0,Chicago Bears,Green Bay Packers,17,290,0,2,13,365,2,-2,4,17,1,6-10,-2.6,22,0,0.1,-2.7,0.0,12,0,27,NFC North,1439,-7,0.0,-49.4,0.08,0.003,0.003,0.003,4,6,0,6.7,9.3,-0.015,0.47,0.18899999999999997,0.529,-0.233,0.406,-0.068,27,-0.033,0.042,0.055999999999999994,-0.054000000000000006,19,-0.065,0.002,0.066,0.11900000000000001,-0.012,-0.111,26,6.7,0.06,0.085,30,655,2,0,Regular Season
2015,12,GB,12,Thu,26-Nov,8:30PM,0,Green Bay Packers,Chicago Bears,13,365,2,-2,17,290,0,2,-4,17,0,11-7,3.6,22,0,2.4,1.3,-0.1,2,0,12,NFC North,1651,32,0.0,0.0,0.95,0.75,0.33,0.09,7,3,0,11.2,4.8,-0.184,0.436,-0.217,0.396,-0.114,0.52,0.157,8,0.114,0.115,-0.040999999999999995,0.002,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,30,655,2,0,Regular Season
2015,11,DET,11,Sun,22-Nov,1:02PM,1,Detroit Lions,Oakland Raiders,18,375,0,0,13,216,0,0,5,18,1,7-9,-2.0,16,0,0.9,-2.4,-0.5,15,0,13,NFC North,1427,22,0.0,-108.3,0.01,0.003,0.003,0.003,2,7,0,5.1,10.9,0.044000000000000004,0.44299999999999995,0.18,0.535,-0.17300000000000001,0.29600000000000004,-0.16699999999999998,31,-0.161,-0.127,0.054000000000000006,0.013000000000000001,12,0.05,0.149,0.017,-0.023,0.01,-0.011000000000000001,11,7.9,0.034,0.168,31,591,0,0,Regular Season
2015,11,LV,11,Sun,22-Nov,1:02PM,1,Oakland Raiders,Detroit Lions,13,216,0,0,18,375,0,0,-5,18,0,7-9,-2.2,16,0,-0.7,-1.2,-0.3,10,0,18,AFC West,1428,-24,0.0,-44.0,0.07,0.02,0.003,0.003,4,5,0,6.6,9.4,-0.047,0.41200000000000003,0.099,0.452,-0.27399999999999997,0.35,-0.021,14,-0.019,0.07200000000000001,0.085,-0.006999999999999999,15,-0.006,-0.006999999999999999,-0.013000000000000001,-0.008,-0.001,-0.004,30,7.3,0.042,0.08900000000000001,31,591,0,0,Regular Season
2015,5,DEN,5,Sun,11-Oct,4:25PM,0,Denver Broncos,Oakland Raiders,16,297,2,1,10,288,3,-1,6,19,1,15-4-0,5.9,7,0,-2.9,8.3,0.5,3,0,8,AFC West,1658,6,0.0,0.0,0.9,0.8,0.58,0.14,4,0,0,12.2,3.8,-0.185,0.36200000000000004,-0.09699999999999999,0.45,-0.38,0.16699999999999998,0.111,7,0.122,-0.267,-0.319,0.059000000000000004,8,0.174,0.17600000000000002,-0.085,-0.252,0.006999999999999999,0.17300000000000001,2,10.6,0.035,0.114,26,585,5,0,Regular Season
2015,5,LV,5,Sun,11-Oct,4:25PM,0,Oakland Raiders,Denver Broncos,10,288,3,-1,16,297,2,1,-6,19,0,7-9,-2.2,7,0,-0.7,-1.2,-0.3,10,0,18,AFC West,1407,-10,0.0,-80.7,0.08,0.03,0.003,0.003,2,2,0,6.0,6.0,-0.24100000000000002,0.33299999999999996,-0.297,0.409,-0.14300000000000002,0.2,-0.01,16,-0.03,-0.012,0.032,0.035,15,-0.006,-0.006999999999999999,-0.013000000000000001,-0.008,-0.001,-0.004,30,7.3,0.042,0.08900000000000001,26,585,5,0,Regular Season
2015,10,MIN,10,Sun,15-Nov,4:05PM,0,Minnesota Vikings,Oakland Raiders,30,385,0,2,14,371,2,-2,16,20,1,11-6,2.8,11,0,0.8,1.8,0.2,11,0,7,NFC North,1562,9,0.0,0.0,0.66,0.26,0.15,0.03,6,2,0,10.1,5.9,0.22899999999999998,0.5479999999999999,0.133,0.5,0.318,0.594,-0.065,26,-0.037000000000000005,-0.075,0.034,0.044000000000000004,11,0.057999999999999996,0.135,0.005,-0.013999999999999999,0.039,0.061,25,9.5,0.038,0.163,44,756,2,0,Regular Season
2015,10,LV,10,Sun,15-Nov,4:05PM,0,Oakland Raiders,Minnesota Vikings,14,371,2,-2,30,385,0,2,-16,20,0,7-9,-2.2,11,0,-0.7,-1.2,-0.3,10,0,18,AFC West,1452,-7,0.0,-19.9,0.16,0.02,0.003,0.003,4,4,0,7.4,8.6,-0.068,0.42200000000000004,-0.068,0.46799999999999997,-0.07,0.294,0.042,12,0.061,0.11900000000000001,0.067,-0.01,15,-0.006,-0.006999999999999999,-0.013000000000000001,-0.008,-0.001,-0.004,30,7.3,0.042,0.08900000000000001,44,756,2,0,Regular Season
2015,15,GB,15,Sun,20-Dec,4:05PM,0,Green Bay Packers,Oakland Raiders,30,293,2,0,20,372,2,0,10,21,1,11-7,3.6,9,0,2.4,1.3,-0.1,2,0,12,NFC North,1646,13,0.0,0.0,0.003,0.73,0.15,0.06,9,4,0,10.8,5.2,-0.051,0.413,0.087,0.43799999999999994,-0.295,0.37,0.14800000000000002,9,0.032,0.08,-0.068,0.0,10,0.087,-0.026000000000000002,0.027000000000000003,-0.057,0.004,0.045,3,9.7,0.053,0.168,50,665,4,0,Regular Season
